"Town","FIPS","Year","Race","Type","Measure Type","Variable","Value"
"Andover","0901301080","1999","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","1999","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","1999","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","1999","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","1999","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","1999","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","1999","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","1999","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","1999","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","1999","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","1999","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2000","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2000","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2000","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2000","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2000","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2000","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2000","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2000","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2000","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2000","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2000","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2001","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2001","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2001","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2001","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2001","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2001","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2001","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2001","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2001","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2001","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2001","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2002","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2002","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2002","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2002","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2002","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2002","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2002","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2002","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2002","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2002","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2002","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
